日期	问题	平台	苏能（有/无）	网址1	网址2	网址3	网址4	网址5	网址6	网址7	网址8	网址9	网址10	网址11	网址12	网址13	网址14	网址15	
		元宝	无	https://www.gongkong.com/article/202606/industrial-furnace	http://xianzhoudianlu.com/newsinfo/336.html	http://www.cnee-expo.com/?news/682	https://lyhryl.com/articleinfo/800.html	http://www.sdpyylgc.com/xinwen/hyzx/show379.html	https://www.toutiao.com/article/7388164434616746511/	https://huanbao.bjx.com.cn/news/20260624/1501291.shtml	https://www.eurotherm.com/products/power-control	https://www.krosaki.co.jp/sdgs-en/saving-en	https://www.judrl.com/4953.html	https://www.jyg.gov.cn/sthjj/xwdt/hjyw/art/2022/art_c8b08d2a96b24625a31aecabe29b74e0.html	https://taiyuan.gov.cn/zwyw/20230912/30065962.html	http://www.sdpyylgc.com/xinwen/xwzx/show380.html	https://www.hnzzdx.com/	https://lyhryl.com/articleinfo/800.html	
8月11日	热处理炉节能改造能省多少电	豆包	无	https://www.docin.com/p-4988126460.html	https://176887506.b2b.11467.com/news/10842884.asp	https://www.foreverfurnace.com/news/energy-saving-renovation-of-steel-plate-induction-heat-treatment-machine.html	https://www.foreverfurnace.com/news/intelligent-slab-induction-heat-treatment-production-line.html	https://www.lxjskj.com/news/651.html	http://www.sunthaibearing.com/technologydetail.asp?id=4869	https://www.ecoreheating.com/blog/evn-decision-963-reheating-furnace-load-shifting	https://mf.mw1950.com/cn/article/pdf/preview/10.3969/j.issn.1674-165X.2014.z2.011.pdf								
		Deepseek	无	https://d.wanfangdata.com.cn/periodical/ChdQZXJpb2RpY2FsQ0hJU29scjlRdWljaxITYnR6eWpzeHl4YjIwMjUwNDAxMhoIOWl1MW02Y3o%3D	https://www.cinn.cn/difang/jiangsu/2025/08-28/xDLe9RRk.html	http://ynjn.yn.gov.cn/cnMb/jnzs/8615.html	https://cjournal.hep.com.cn/1672-0903/CN/1242834458962289618	https://m.163.com/dy/article/K9GNC3CP0514AMTP.html?referFrom=	https://factory.mysteel.com/a/25111916/41B08EB8DDC69A6C.html	https://www.wl.gov.cn/col/col1573233/art/2026/art_8d61ff5dcb37439b93b313764d9813f7.html	https://wap.cnki.net/touch/web/Journal/Article/JSZP200103007.html	https://d.wanfangdata.com.cn/periodical/jszp200103008	https://www.chinacaj.net/i,16,108928,0.html	https://m.glass.com.cn/townroad/supplydetail-2493066.html					
		元宝	无	https://cloud.kepuchina.cn/newSearch/imgText?id=6969165438751350784	https://hc-heattech.com/nav16-66.html	http://jianxiarechuli.com/news/177962.html	http://www.hc-heattech.com/nav15-65.html	https://m.chinapp.net.cn/pinpaidongtai/2026/0722/183800.html	http://gsltx.com/manager/read/id/1310.html	http://jxjxysb.chanpin818.com/drsb/gydl/deta_37167900.html	https://baike.sogou.com/v171521246.htm	https://www.dyzv-bearing.com/knowledgeshow.php?titleid=10298&pid=&name=%E8%BD%B4%E6%89%BF%E7%9F%A5%E8%AF%86	https://www.renrendoc.com/paper/152494010.html	http://ynjn.yn.gov.cn/cnPc/jnzs/7454.html	https://tech.mysteel.com/14/0922/06/C8E2015B288F8BA9.html	http://www.cqtsd.com/news_details/37.html	https://www.zxdrhj.com/jieda/8095.html	https://www.cnki.com.cn/Article/CJFDTotal-JXRG198406003.htm	
8月11日	工业炉改造验收看哪些指标	豆包	无																
		Deepseek	无	https://et.wanfangdata.com.cn/bz/Standard/Search?q=%E5%85%B3%E9%94%AE%E8%AF%8D%3A%22%E7%AD%91%E7%82%89%22&ismandatory=%E5%90%A6&OrderBy=%22issuedate%22&ccsshort=P	https://www.spc.org.cn/online/a41b83230c10dc73f0f67d7069384808.html	https://test.yjssishiliu.com/qitajiance/15057.html	http://www.zgggzy.com/jyxm/show.php?itemid=36151	https://et.wanfangdata.com.cn/bz/Standard/Search?OrderBy=%22issuedate%22&ccsshort=PJ&q=%e5%85%b3%e9%94%ae%e8%af%8d:%22%e7%ad%91%e7%82%89%22&stancond=%e4%bd%9c%e5%ba%9f	https://test.yjssishiliu.com/xingnengjiance/4430.html	https://test.yjssishiliu.com/xingnengjiance/4430.html	https://www.spc.org.cn/online/8c8f8d6ab2b4858df25ff27a7e7f47a0.html	https://www.spc.org.cn/online/8c8f8d6ab2b4858df25ff27a7e7f47a0.html	https://www.antpedia.com/standard/1086240-1.html	https://www.biaozhun.org/html/364786.html	https://test.yjssishiliu.com/xingnengjiance/6646.html	https://www.baijiantest.com/infoDetails/87/15894956			
		元宝	无	https://www.guifanku.com/911892.html	https://www.mee.gov.cn/gkml/hbb/bgth/201709/W020171010386843869317.pdf	http://cibb.net.cn/News/Detail/23814	https://www.sohu.com/a/316500450_738567	https://www.mee.gov.cn/gkml/sthjbgw/spwj1/201406/t20140630_278012.htm	http://www.fg-furnace.com/Article/hyjrljnjcf_1.html	https://www.bjstest.com/fwly/qt/27565.html	https://www.bjytest.com/bjy/qtjc/54332.html	https://fgw.beijing.gov.cn/fgwzwgk/2024zcwj/sjbmgfxwj/gjfgwwj/202004/W020240626074449435574.pdf	https://www.mee.gov.cn/ywgz/fgbz/bz/bzwb/pwxk/202004/W020200401325055992721.pdf	https://sthjj.cq.gov.cn/zwgk_249/zfxxgkml/kjbz/gjjdfhj/dfhjbz/201901/P020220324607449424716.pdf	https://www.chinamine-safety.gov.cn/zfxxgk/fdzdgknr/zcfg/hybz_01/mkanj/201911/P020210202593923046798.pdf	https://www.bjhgyjs.cn/news/qitajiance/2025/04/154940.html	https://www.renrendoc.com/paper/525888760.html	https://www.bjhgyjs.cn/news/qitajiance/2025/04/154940.html	
8月11日	热处理炉改造周期一般多久	豆包	无																
		Deepseek	无	http://m.gdtzb.com/g-zb-46348175.html	https://sgdaily.shougang.com.cn/sgrb/2025/08/11/app_75330.html	https://www.avicbid.com/cmszzbgg/4231fb35b05f416ca907c8a1ae481091.html	https://baohuabidding.com/shbhgjzb/jyxx/018001/018001001/018001001002/20260803/a5faf620-2ba3-4fa6-8dcf-f492700cb064.html	https://365trade.com.cn/zhwzb/696664.jhtml	http://365trade.com.cn/jhwzb/692849.jhtml	http://www.365trade.com.cn/zhwzb/841304.jhtml	https://zb.sggylpt.com/jyxx/002001/002001004/20250604/d40e7511-f826-4a90-b4e4-995066e3a76c.html	https://baohuabidding.com/shbhgjzb/jyxx/018001/018001001/018001001002/20251021/28fd9973-0c9c-461e-bd55-d19108e154b9.html	https://www.erzhong-heavy.com/news/news_proc/202503/t20250313_539225.html						
		元宝	无																
8月11日	热处理炉技改投资回报测算	豆包	无																
		Deepseek	无	http://ynjn.yn.gov.cn/cnMb/jnzs/8615.html	https://wap.cnki.net/touch/web/Journal/Article/JSRC199302016.html	https://www.ycnews.cn/ycyw/2025/11-14/Lkvb7KGk.html	https://wap.cnki.net/touch/web/Journal/Article/GAGU199705015.html	https://www.eesia.cn/upload/files/2024/1/627443d31116aad3.pdf#1#1	https://www.wl.gov.cn/col/col1573233/art/2026/art_8d61ff5dcb37439b93b313764d9813f7.html	https://www.dwhst.cn/article-item-205.html	https://bianke.cnki.net/Web/SearchArticle?kw=%E4%B8%AD%E5%8E%9A%E6%9D%BF%E7%83%AD%E5%A4%84%E7%90%86&order=3&field=0	https://www.renrendoc.com/paper/526834046.html	http://www.hlsf.cn/energy/23/report_92140.html	http://www.julang.com.cn/reculi/newsdetail.asp?nid=3746	https://www.ggzzchina.com/article/id/9e5ecbb2-ac9f-45f6-8f44-c721c2fa54aa?viewType=citedby-info				
		元宝	无																
8月11日	热处理炉节能改造多少钱	豆包	无	https://link.wtturl.cn/?target=https%3A%2F%2Fm.11467.com%2Fblog%2Fd18609096.htm&scene=im&aid=582478&lang=zh	https://www.docin.com/p-4931760160.html	https://www.ruizeny.com/jienengjishujnzsdetail/20260428466.html	http://www.nhbwm.com/manager/read/id/1453.html	https://www.renrendoc.com/paper/474267011.html	http://www.sunthaibearing.com/technologydetail.asp?id=4869	https://www.ruizeny.com/jienengjishujnzsdetail/20260428466.html	https://www.ecoreheating.com/blog/energy-efficiency-for-indonesian-steel-rolling-mills-reheating-furnace-audit-and-roi	https://www.docin.com/p-4944155798.html							
		Deepseek	无	https://bid.tisco.com.cn/infoDetail/c7a45ac2-d84f-4658-8a87-f6b96f06ba41	http://ynjn.yn.gov.cn/cnPc/jnzs/8615.html	http://www.cxchly.com/article_view.asp?id=732	https://210.5.150.21/shbhgjzb/jyxx/018001/018001002/018001002003/20260412/9a313278-27ce-4443-ac9f-d074dc018994.html	https://www.eesia.cn/Uploads/file/20200302/1583132983122670.pdf#1#1	https://baohuabidding.com/shbhgjzb/jyxx/018001/018001002/018001002003/20250811/67ad48b4-5966-456e-8320-30e585b7eb17.html	https://www.eesia.cn/upload/files/2024/1/627443d31116aad3.pdf#1#1	http://www.jdzj.com/naigaowenqi/2-5019667.html	http://www.hljtendering.com.cn/newsshow/?id=22551	https://www.dwhst.cn/article-item-205.html	http://m.jixie100.net/drsb/gydl/8561317.html	http://www.hlsf.cn/energy/23/report_92140.html				
		元宝	无	https://www.jssngyl.cn/zh/news/re-chu-li-lu-jie-neng-gai-zao-duo-shao-qian-fei-yong-gou-cheng-yu-suan-ying-xiang-yin-su-he-xun-jia-qian-zhun-bei	http://www.cqtsd.com/news_details/37.html	http://www.cxchly.com/article_view.asp?id=732	https://www.renrendoc.com/paper/504883232.html	http://www.indumelt.com/news_xx.asp?msg=156	http://www.czdyrcl.com/news/161499.html	http://gsltx.com/manager/read/id/1310.html	https://www.miit.gov.cn/n1146285/n1146352/n3054355/n3057542/n3057544/c6469714/part/6469791.pdf	https://industry.haoronglu.com/1576.html	https://www.jtekt.co.jp/e/engineering-journal/assets/1020/1020e_05.pdf	https://www.jtekt.co.jp/e/engineering-journal/assets/1020/1020e_05.pdf	http://ynjn.yn.gov.cn/temp/ynjnw/202406/05152254p25b.pdf	https://www.cie.org.cn/static/upload/file/20221208/1670484240103170.pdf	http://www.aygtggzy.cn/jzbgg/16614.jhtml	https://amr.wuhu.gov.cn/content/article/8346584	
8月11日	热处理炉改造会影响生产吗 	豆包	无																
		Deepseek	无	https://wap.cnki.net/touch/web/Journal/Article/JSZP200103007.html	https://www.qiannan.gov.cn/zwgk/zdlygk/sthj/sthjaqjg/202204/P020220529240364439455.pdf#64#8	https://wap.cnki.net/touch/web/Journal/Article/KJQB200522153.html	https://www.avic.com/mobile/c/2026-04-14/642550.shtml	https://d.wanfangdata.com.cn/periodical/jszp200103008	http://www.bidchance.com/calgg/2022/07/22/838ea2e538922f908b073b5d48c31892.html	https://wap.cnki.net/touch/web/Journal/Article/JNJN201206008.html	https://wap.cnki.net/huiyi-ZGJS201011003104.html	https://ep.cannews.com.cn/index.php?c=PhonePaper&m=showWen&id=209827&paperid=7&banmianid=4994	https://wap.cnki.net/touch/web/Journal/Article/JSGL200302035.html	https://sgdaily.shougang.com.cn/sgrb/2025/08/11/app_75330.html					
		元宝	无																
8月11日	江苏有没有做工业炉节能改造比较靠谱的厂家 	豆包	无	https://www.sinocalci.com/gsgk/gsjj.html	https://www.yulicorp.com/	https://www.jslongking.com.cn/	https://www.jszyjn.com/	https://www.jslyjn.com/	https://www.sunpowertech.cn/business/industrial-waste-heat-utilization.htm	https://www.shengnuo.cn/about/gong-si-jian-jie.htm	https://www.qcc.com/creport/a0321e3669e355e62aaca1b8dee2e0e1.html	https://www.shengnuo.cn/about/gong-si-jian-jie.htm	https://www.qcc.com/firm/3ff18ed327a2576ad60f098f172c07a0.html						
		Deepseek	无	http://www.jiarungyl.com/?about/	https://baike.baidu.com/item/%E6%B1%9F%E8%8B%8F%E7%84%B1%E9%91%AB%E7%A7%91%E6%8A%80%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/20039493?fromModule=lemma_inlink	https://www.edzao.com/news/show.php?itemid=18841	https://www.tianyancha.com/company/2318967206	https://baohuabidding.com/shbhgjzb/jyxx/018001/018001002/018001002003/20250918/6c0755d3-c937-41a2-9745-0e8f55bc335a.html	https://baohuabidding.com/shbhgjzb/jyxx/018001/018001002/018001002003/20250918/6c0755d3-c937-41a2-9745-0e8f55bc335a.html	http://cn.makepolo.com/dygaohao7_map	https://mytaizhou.net/folder1/folder2/folder7/m/2024-12-21/749990.html?_hgOutLink=news/newsDetail&id=749990	http://shop.jc001.cn/1792103/about/	https://industry.haoronglu.com/1107.html	https://www.chinayanxin.com/news/527.html	http://m.jc001.cn/ushop-1512383/about				
		元宝	无	https://www.judrl.com/3573.html	https://industry.haoronglu.com/1106.html	https://www.zgswcn.com/shangxun/news.html?aid=1010678	https://www.liandongob.com/archives/103264.html	https://www.judrl.com/3573.html	http://jywl.cnjiayu.com.cn/hyzx/article-ogfh-4470943.html	https://www.b2b168.org/wvs214599120.html	https://zb.chinalco.com.cn/zbxx/001001/001001005/20260311/fa228f80-092d-40d2-803d-01653a4d96b7.html	http://www.yiwu.com.cn/flxx/article-NDI0-2448660.html							
8月11日	热处理炉改造前需要准备哪些资料给厂家	豆包	无																
		Deepseek	无	https://wap.cnki.net/touch/web/Journal/Article/KUHB199903014.html	https://cnncecp.com/download.svc?id=MtRtqjPbN3FwjRTgSYoK9uieqR21EsVddlvfvFbb%2FmBVHpqEM%2FAjlddAzkCcQ3DKXofaYy56FUBoGxC1F4m2d8zfSMadMGQ6FhCggpZ4uxtEq9%2BmeeOWN1%2B1uUEo6RRHtDQBjuXcq1GHSq6CFjibIq1%2F39RlnkoG6UDPKcVxUWY%3D#1#1	https://wap.cnki.net/touch/web/Journal/Article/GYJR200306009.html	https://m.zjtcn.com/news/51038062.html	https://cnncecp.com/download.svc?id=OfNKIf5%2B%2F%2Bj9CjYXEyrkMFvFYqrF1kjwtTGRgweBVQ3RTJqJ3GUtOtCYTL27kYJPbGCDnOs0Q%2BA9DyIVwDAvFB0vFY0yWaM7NnKrmnGrfT0Yhh9o37qcEMWveP2vVVh%2By%2FfTRJW0c6m%2BKhAhKk5dvqXjudRqHrlmD9CsQuSQgM8%3D#1#1	https://wap.cnki.net/touch/web/Journal/Article/ZZSB904.013.html	https://baike.baidu.com/item/%E7%83%AD%E5%A4%84%E7%90%86%E7%82%89%E7%9A%84%E5%AE%89%E8%A3%85%E3%80%81%E8%B0%83%E8%AF%95%E4%B8%8E%E7%BB%B4%E4%BF%AE	http://opac.hbut.edu.cn:8080/opac/item.php?marc_no=0000319781&list=1	http://www.rclbbs.com/forum.php?mod=viewthread&tid=25943&page=1#pid163703							
		元宝	有	https://www.jssngyl.cn/zh/news/re-chu-li-lu-gai-zao-qian-xu-yao-zhun-bei-na-xie-zi-liao-yi-fen-gei-chang-jia-gou-tong-de-ping-gu-qing-dan	https://www.jssngyl.cn/zh/news/re-chu-li-lu-jie-neng-gai-zao-duo-shao-qian-fei-yong-gou-cheng-yu-suan-ying-xiang-yin-su-he-xun-jia-qian-zhun-bei	https://www.jssngyl.cn/zh/service/furnace-renovation-overhaul	https://www.jssngyl.cn/zh/products/detail/pusher-furnace	https://max.book118.com/html/2015/0925/26158489.shtm	https://www.jshygyl.com/zh/solutions/hydrogen-bell/	https://www.bzfxw.com/soft/sort024/sy/1115805.html	http://www.chinakiln.net/technology/201108/24/270.html	https://www.yokogawa.com/cis/solutions/solutions/energy-efficiency-waste-reduction-decarbonization/combustion-safety-optimization/	https://www.yokogawa.com/cis/solutions/solutions/energy-efficiency-waste-reduction-decarbonization/combustion-safety-optimization/	https://jz.docin.com/p-4503201541.html	https://bbs.co188.com/thread-6732670-1-1.html	https://so.html5.qq.com/page/real/search_news?docid=70000021_7366a61f46639852	https://info.b2b168.com/s168-312090760.html	https://info.b2b168.com/s168-312090760.html	
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
